GEOID,TractLat,TractLon,OSHPDID_1,HospLat_1,HospLon_1,Dist_1,OSHPDID_2,HospLat_2,HospLon_2,Dist_2,OSHPDID_3,HospLat_3,HospLon_3,Dist_3,duration_0,duration_1,duration_2,duration_in_traffic_0,duration_in_traffic_1,duration_in_traffic_2
6001400100,37.8676275,-122.231946,106010735,37.76266,-122.253991,0.107257438349281,106070924,38.00646,-122.13101,0.171646552986793,106384200,37.77189,-122.39129,0.185892924131734,1409,1611,1640,1584,1721,3044
6001400200,37.8481386,-122.2495968,106010735,37.76266,-122.253991,0.0855914718391974,106384200,37.77189,-122.39129,0.160906220912038,106380939,37.75657,-122.40637,0.181556175175056,1063,1294,1226,1221,2674,2510
6001400300,37.8405983,-122.2544365,106010735,37.76266,-122.253991,0.0779395732419741,106384200,37.77189,-122.39129,0.153132984530234,106380939,37.75657,-122.40637,0.17362184085863,1008,1239,1171,1155,2601,2441
6001400400,37.8482803,-122.2574533,106010735,37.76266,-122.253991,0.0856902753722991,106384200,37.77189,-122.39129,0.154103018143634,106380939,37.75657,-122.40637,0.174891288133456,1045,1275,1208,1195,2645,2483
6001400500,37.8485412,-122.2647277,106010735,37.76266,-122.253991,0.0865497385341556,106384200,37.77189,-122.39129,0.147964260018179,106380939,37.75657,-122.40637,0.168882334122695,1068,1293,1225,1220,2669,2504
6001400600,37.8419909,-122.2648882,106010735,37.76266,-122.253991,0.0800758431903824,106384200,37.77189,-122.39129,0.144539099291664,106380939,37.75657,-122.40637,0.16526896226469,978,1203,1135,1113,2555,2389
6001400700,37.8417667,-122.2723529,106010735,37.76266,-122.253991,0.0812097860882618,106384200,37.77189,-122.39129,0.137944869274997,106380939,37.75657,-122.40637,0.158805103139975,1011,1237,1169,1196,2647,2479
6001400800,37.8454675,-122.2833944,106010735,37.76266,-122.253991,0.0878728740158841,106384200,37.77189,-122.39129,0.130595210500252,106380939,37.75657,-122.40637,0.151742425516421,1235,1407,1339,1453,2476,2314
6001400900,37.8394912,-122.2802646,106010735,37.76266,-122.253991,0.0811993556033586,106384200,37.77189,-122.39129,0.129986775044992,106380939,37.75657,-122.40637,0.15092546941652701,1137,1366,1299,1349,2364,2207
6001401000,37.8312255,-122.2719014,106010735,37.76266,-122.253991,0.0708661429627113,106384200,37.77189,-122.39129,0.133320438681417,106380939,37.75657,-122.40637,0.15380262698084,1001,1226,1158,1141,2583,2414
6001401100,37.8305038,-122.2638582,106010735,37.76266,-122.253991,0.0685575877221558,106384200,37.77189,-122.39129,0.140265609476008,106380939,37.75657,-122.40637,0.160548497101898,994,1219,1151,1140,2581,2413
6001401200,37.8306139,-122.2579003,106010735,37.76266,-122.253991,0.0680662556021777,106384200,37.77189,-122.39129,0.145743982713851,106380939,37.75657,-122.40637,0.165908863371725,1097,1322,1255,1265,2665,2498
6001401300,37.8181162,-122.2666978,106010735,37.76266,-122.253991,0.056893346576560803,106384200,37.77189,-122.39129,0.132891225697091,106380939,37.75657,-122.40637,0.152631118017517,1032,1181,1113,1164,2514,2350
6001401400,37.820756,-122.2733874,106010735,37.76266,-122.253991,0.0612483922153183,106384200,37.77189,-122.39129,0.127628010416035,106380939,37.75657,-122.40637,0.14766250200629,979,1235,1168,1112,2571,2404
6001401500,37.8229286,-122.2806336,106010735,37.76266,-122.253991,0.0658948577714601,106384200,37.77189,-122.39129,0.121859663346474,106380939,37.75657,-122.40637,0.14217280358394,1155,1227,1160,1210,2253,2089
6001401600,37.8173716,-122.2814825,106010735,37.76266,-122.253991,0.0612302355606369,106384200,37.77189,-122.39129,0.118853956580366,106380939,37.75657,-122.40637,0.13890184382797,976,1184,1116,1112,2195,2041
6001401700,37.8225184,-122.3077741,106010735,37.76266,-122.253991,0.0804714228541557,106384200,37.77189,-122.39129,0.0976634037875336,106380939,37.75657,-122.40637,0.118618476467066,1104,1065,997,1261,1980,1820
