GEOID,TractLat,TractLon,OSHPDID_1,HospLat_1,HospLon_1,Dist_1,OSHPDID_2,HospLat_2,HospLon_2,Dist_2,OSHPDID_3,HospLat_3,HospLon_3,Dist_3,duration_0,duration_1,duration_2,duration_in_traffic_0,duration_in_traffic_1,duration_in_traffic_2
6001400100,37.8676275,-122.231946,306012807,37.8675,-122.26176,0.0298142726265476,306014044,37.86379,-122.26895,0.0372024518311727,306014360,37.85309,-122.26957,0.0403349015401115,751,757,669,693,697,625
6001400200,37.8481386,-122.2495968,306014210,37.831642,-122.254379,0.0171757750450984,306013630,37.84891,-122.26989,0.0203078562187125,306014360,37.85309,-122.26957,0.0205777812263579,363,384,465,324,361,443
6001400300,37.8405983,-122.2544365,306014210,37.831642,-122.254379,0.00895648457487769,306014187,37.83735,-122.26715,0.0131219104988609,306013630,37.84891,-122.26989,0.0175469376000512,248,301,377,226,288,367
6001400400,37.8482803,-122.2574533,306013630,37.84891,-122.26989,0.0124526314078682,306014360,37.85309,-122.26957,0.0130363964721927,306014187,37.83735,-122.26715,0.0146115519018373,247,327,315,245,343,298
6001400500,37.8485412,-122.2647277,306013630,37.84891,-122.26989,0.00517545695857789,306014360,37.85309,-122.26957,0.00664375275955441,306014187,37.83735,-122.26715,0.0114503491095253,94,172,210,85,161,195
6001400600,37.8419909,-122.2648882,306014187,37.83735,-122.26715,0.00516272138023944,306013630,37.84891,-122.26989,0.00853767814162541,306014296,37.84176,-122.274544,0.00965856037150904,120,162,229,116,145,214
6001400700,37.8417667,-122.2723529,306014296,37.84176,-122.274544,0.00219111024369381,306014187,37.83735,-122.26715,0.00682476426699166,306013630,37.84891,-122.26989,0.0075559652791636,120,160,199,113,157,177
6001400800,37.8454675,-122.2833944,306014163,37.8479,-122.27817,0.00576293428819508,306014161,37.84816,-122.27793,0.00609173403967209,306014328,37.83777,-122.28599,0.0081233395601775,95,166,235,88,159,222
6001400900,37.8394912,-122.2802646,306014328,37.83777,-122.28599,0.00597852277741152,306014296,37.84176,-122.274544,0.00615408139366818,306014163,37.8479,-122.27817,0.00866575251204729,124,152,207,121,136,196
6001401000,37.8312255,-122.2719014,306014187,37.83735,-122.26715,0.00775147097072649,306014296,37.84176,-122.274544,0.010860894300654,306014058,37.81905,-122.26486,0.0140649960615068,163,278,356,159,261,344
6001401100,37.8305038,-122.2638582,306014187,37.83735,-122.26715,0.00759647297632084,306014210,37.831642,-122.254379,0.0095472892425035,306014058,37.81905,-122.26486,0.01149752745942,214,268,256,206,269,234
6001401200,37.8306139,-122.2579003,306014210,37.831642,-122.254379,0.0036683161395956,306014187,37.83735,-122.26715,0.0114425518701001,306014254,37.8190119,-122.2646799,0.0134376106566644,173,306,342,153,296,341
6001401300,37.8181162,-122.2666978,306014058,37.81905,-122.26486,0.00206142942639625,306014254,37.8190119,-122.2646799,0.00220775879570108,306014245,37.81075,-122.26253,0.00846353704310659,77,73,309,74,74,291
6001401400,37.820756,-122.2733874,306014058,37.81905,-122.26486,0.00869637779538778,306014254,37.8190119,-122.2646799,0.00888045275084606,306014116,37.80983,-122.27314,0.010928800609404,193,197,221,166,170,198
6001401500,37.8229286,-122.2806336,306014116,37.80983,-122.27314,0.0150906382542302,306014328,37.83777,-122.28599,0.015778408504029,306014058,37.81905,-122.26486,0.016243460066134,308,383,347,273,360,338
6001401600,37.8173716,-122.2814825,306014116,37.80983,-122.27314,0.0112460231553208,306014229,37.807256,-122.274352,0.0123761623134965,306014253,37.80723,-122.27429,0.0124331857064116,243,338,336,220,320,319
6001401700,37.8225184,-122.3077741,306014319,37.806615,-122.300306,0.0175695944509236,306014261,37.8081661,-122.2965249,0.0182354878171702,306014328,37.83777,-122.28599,0.0265924484651224,366,349,545,406,386,606
6001401800,37.8095326,-122.2982355,306014261,37.8081661,-122.2965249,0.00218940051384452,306014319,37.806615,-122.300306,0.00357761932155836,306010992,37.80441,-122.28795,0.0114905413715014,54,106,248,53,109,246
6001402200,37.8063521,-122.2963073,306014261,37.8081661,-122.2965249,0.00182700458675145,306014319,37.806615,-122.300306,0.00400733304082522,306010992,37.80441,-122.28795,0.00857998925990035,43.0,69.0,148.0,46.0,nan,148.0
6001402400,37.812031,-122.2824569,306010992,37.80441,-122.28795,0.00939434875922509,306014229,37.807256,-122.274352,0.00940691389404926,306014253,37.80723,-122.27429,0.00947353453628085,134,222,220,127,217,215
6001402500,37.8057305,-122.2847803,306010992,37.80441,-122.28795,0.00343376154384955,306014229,37.807256,-122.274352,0.0105392879806948,306014253,37.80723,-122.27429,0.0105969285333061,121,310,308,123,320,319
6001402600,37.8042701,-122.2799551,306014229,37.807256,-122.274352,0.00634904153554345,306014253,37.80723,-122.27429,0.00639174201763661,306010992,37.80441,-122.28795,0.00799612393725853,355,354,314,354,352,330
6001402700,37.8103873,-122.276991,306014116,37.80983,-122.27314,0.00389111607254068,306014229,37.807256,-122.274352,0.00409504098758598,306014253,37.80723,-122.27429,0.00415499028759904,176,160,158,173,149,148
6001402800,37.808718,-122.2715001,306014116,37.80983,-122.27314,0.00198136720725874,306014253,37.80723,-122.27429,0.00316191176505366,306014229,37.807256,-122.274352,0.00320480539346263,111,112,114,103,101,103
6001402900,37.8071721,-122.2667847,306014245,37.81075,-122.26253,0.00555912227784284,306014116,37.80983,-122.27314,0.00688870601055965,306014253,37.80723,-122.27429,0.00750552333284407,267,215,230,237,183,199
6001403000,37.8004341,-122.2707274,306014182,37.79977,-122.27062,0.000672728451898443,306014327,37.79952,-122.27122,0.00103838026271366,306011006,37.79947,-122.27117,0.00106084097299948,37,38,39,30,29,30
6001403100,37.8022741,-122.2755012,306014327,37.79952,-122.27122,0.00509055402190503,306014253,37.80723,-122.27429,0.0051017595249079,306014229,37.807256,-122.274352,0.00511272806337701,230,205,206,195,191,192
6001403300,37.7944308,-122.2663244,306014182,37.79977,-122.27062,0.00685268093522146,306011006,37.79947,-122.27117,0.00699094957784335,306014327,37.79952,-122.27122,0.00706164683342213,346,348,347,297,297,296
6001403400,37.8026482,-122.2626597,306014245,37.81075,-122.26253,0.00810283810340414,306014182,37.79977,-122.27062,0.00846465659846185,306011006,37.79947,-122.27117,0.00908439108195823,319,322,324,295,286,285
6001403501,37.8177398,-122.2600504,306014254,37.8190119,-122.2646799,0.00480109452729998,306014058,37.81905,-122.26486,0.00498486471230783,306014245,37.81075,-122.26253,0.00741658413287394,166,170,207,151,155,207
6001403502,37.8159619,-122.2569401,306014245,37.81075,-122.26253,0.00764270133002945,306014254,37.8190119,-122.2646799,0.00831907471057739,306014058,37.81905,-122.26486,0.00850065748163446,166,235,238,153,218,221
6001403600,37.8135075,-122.2534803,306014245,37.81075,-122.26253,0.00946049028009919,306014254,37.8190119,-122.2646799,0.0124791610102579,306014058,37.81905,-122.26486,0.012657680606643,238,355,358,223,358,358
6001403701,37.8112134,-122.2586656,306014245,37.81075,-122.26253,0.00389208516350591,306014254,37.8190119,-122.2646799,0.00984826922560732,306014058,37.81905,-122.26486,0.00998913864754805,116,355,358,108,328,332
6001403702,37.8094979,-122.2520933,306014272,37.79998,-122.25266,0.00953475585948505,306014245,37.81075,-122.26253,0.0105115394353062,306014254,37.8190119,-122.2646799,0.0157777912129741,336,199,458,298,164,413
6001403800,37.8148228,-122.2416681,306014272,37.79998,-122.25266,0.0184697205569083,306014210,37.831642,-122.254379,0.0210820413492162,306014245,37.81075,-122.26253,0.0212557420818474,493,511,497,487,470,450
6001403900,37.8171784,-122.2487713,306014245,37.81075,-122.26253,0.0151863804854866,306014210,37.831642,-122.254379,0.0155126407890456,306014254,37.8190119,-122.2646799,0.0160139088360738,293,463,335,285,422,343
6001404000,37.8233126,-122.2536627,306014210,37.831642,-122.254379,0.00836014294435245,306014254,37.8190119,-122.2646799,0.0118268641799069,306014058,37.81905,-122.26486,0.0119812055340795,379,338,341,357,327,331
6001404101,37.8300795,-122.249816,306014210,37.831642,-122.254379,0.00482310846343509,306014254,37.8190119,-122.2646799,0.018531791412872,306014058,37.81905,-122.26486,0.0186540024190542,212,426,429,172,422,426
6001404102,37.8260219,-122.2510667,306014210,37.831642,-122.254379,0.00652356155026134,306014254,37.8190119,-122.2646799,0.0153120643363413,306014058,37.81905,-122.26486,0.0154551775952312,377,424,427,296,394,397
6001404200,37.8361135,-122.2344665,306014210,37.831642,-122.254379,0.0204083798597576,306014187,37.83735,-122.26715,0.0327068816077028,306014254,37.8190119,-122.2646799,0.0347176361827906,560,714,833,561,710,865
6001404300,37.8446717,-122.2381046,306014210,37.831642,-122.254379,0.0208477619290401,306014187,37.83735,-122.26715,0.0299540072786604,306013630,37.84891,-122.26989,0.0320667248101553,410,461,499,388,474,508
6001404400,37.846243,-122.2150688,306014210,37.831642,-122.254379,0.0419342464465523,306012807,37.8675,-122.26176,0.0513023216476579,306014187,37.83735,-122.26715,0.052834996379676,789,1108,726,800,1084,738
6001404501,37.8271275,-122.2171515,306014210,37.831642,-122.254379,0.0375002328859436,306014277,37.7897817,-122.2373363,0.0424515597908974,306014272,37.79998,-122.25266,0.0446972071666755,586,762,799,562,806,845
6001404502,37.8345259,-122.2026155,306014210,37.831642,-122.254379,0.0518437731213761,306014277,37.7897817,-122.2373363,0.0566354781588405,306014331,37.7820756,-122.2267139,0.0577214592040984,752,902,1088,709,944,1134
6001404600,37.8198587,-122.1912195,306014211,37.77367,-122.20957,0.0497004714056054,306014331,37.7820756,-122.2267139,0.051840284306408,306013346,37.78001,-122.22533,0.0524542191052333,1022,1106,1071,1054,1144,1097
6001404700,37.8133426,-122.2069935,306014331,37.7820756,-122.2267139,0.0369664640608196,306013346,37.78001,-122.22533,0.0380432576813583,306014277,37.7897817,-122.2373363,0.0384161622321903,774,738,678,794,746,742
6001404800,37.8055076,-122.2131962,306014331,37.7820756,-122.2267139,0.027051558869866,306013346,37.78001,-122.22533,0.0282375053466146,306014277,37.7897817,-122.2373363,0.0288105598491219,577,541,552,561,516,590
6001404900,37.8041422,-122.2215059,306014277,37.7897817,-122.2373363,0.0213734771249327,306014331,37.7820756,-122.2267139,0.0226728493921708,306013346,37.78001,-122.22533,0.0244333136854216,419,512,559,438,537,581
6001405000,37.8120851,-122.2190899,306014277,37.7897817,-122.2373363,0.028816189278247,306014331,37.7820756,-122.2267139,0.0309628077901504,306013346,37.78001,-122.22533,0.032676457703062,550,716,756,578,761,758
6001405100,37.811425,-122.2322365,306014277,37.7897817,-122.2373363,0.0222360157161755,306014272,37.79998,-122.25266,0.0234116931735046,306013628,37.79166,-122.24917,0.0260268831643406,641,527,656,654,535,651
6001405200,37.805277,-122.2433878,306014272,37.79998,-122.25266,0.010678572088075,306013628,37.79166,-122.24917,0.0147938002501066,306014277,37.7897817,-122.2373363,0.0166350525800163,185,343,372,164,335,382
6001405301,37.8020757,-122.2513558,306014272,37.79998,-122.25266,0.00246837925166296,306013628,37.79166,-122.24917,0.0106425808960997,306014245,37.81075,-122.26253,0.0141458907860165,135,332,432,122,291,386
6001405302,37.7985075,-122.2543138,306014272,37.79998,-122.25266,0.00221434204448961,306013628,37.79166,-122.24917,0.00856428249709101,306014245,37.81075,-122.26253,0.0147439733006358,106,168,470,103,155,421
6001405401,37.7965384,-122.2494562,306014272,37.79998,-122.25266,0.00470201499359802,306013628,37.79166,-122.24917,0.00488678800440742,306014277,37.7897817,-122.2373363,0.0138760574696164,190,183,385,187,176,416
6001405402,37.7933319,-122.2461006,306013628,37.79166,-122.24917,0.00349520614127412,306014272,37.79998,-122.25266,0.00933932342142622,306014277,37.7897817,-122.2373363,0.00945604962604205,95.0,217.0,211.0,nan,211.0,217.0
6001405500,37.7982821,-122.243279,306013628,37.79166,-122.24917,0.00886318731665314,306014272,37.79998,-122.25266,0.00953341625075066,306014277,37.7897817,-122.2373363,0.01037171555,194,174,224,173,160,241
6001405600,37.8008019,-122.2372726,306014277,37.7897817,-122.2373363,0.0110203841008422,306013628,37.79166,-122.24917,0.0150040815237148,306014272,37.79998,-122.25266,0.0154093347802648,317,312,261,341,284,247
6001405700,37.7982307,-122.2296737,306014277,37.7897817,-122.2373363,0.0114061842769531,306014331,37.7820756,-122.2267139,0.0164239968354248,306013346,37.78001,-122.22533,0.0187313010274268,217,408,457,214,421,469
6001405800,37.7939452,-122.2330985,306014277,37.7897817,-122.2373363,0.00594084851599689,306014331,37.7820756,-122.2267139,0.0134777787977156,306014240,37.77892,-122.2284,0.0157426979037948,189,352,457,184,363,454
6001405901,37.787786,-122.2357701,306014277,37.7897817,-122.2373363,0.00253688804049472,306014331,37.7820756,-122.2267139,0.0107062330723761,306014240,37.77892,-122.2284,0.011529281417764,81,283,359,81,260,365
6001405902,37.7909447,-122.240953,306014277,37.7897817,-122.2373363,0.00379909040298622,306013628,37.79166,-122.24917,0.00824807511423338,306014272,37.79998,-122.25266,0.014788187687815,86,168,302,87,159,294
6001406000,37.7915385,-122.251342,306013628,37.79166,-122.24917,0.0021753956536559,306014272,37.79998,-122.25266,0.00854377236646502,306014277,37.7897817,-122.2373363,0.0141154517720817,81,289,293,77,283,288
6001406100,37.7741755,-122.2275801,306014196,37.7743687,-122.2301341,0.00256129698395504,306014231,37.77617,-122.22499,0.00326904393668343,306014188,37.77572,-122.22341,0.00444693312969416,58,98,150,46,89,131
6001406201,37.7850449,-122.230736,306014331,37.7820756,-122.2267139,0.00499940305436801,306014240,37.77892,-122.2284,0.00655524950021262,306013346,37.78001,-122.22533,0.00738749308019878,175.0,338.0,213.0,nan,290.0,211.0
6001406202,37.7819786,-122.2265557,306014331,37.7820756,-122.2267139,0.000185570040672736,306013346,37.78001,-122.22533,0.00231899255066394,306014205,37.7791,-122.22513,0.00321231356658267,4,73,111,3,78,114
6001406300,37.7892881,-122.2250125,306014331,37.7820756,-122.2267139,0.0074104600538683,306013346,37.78001,-122.22533,0.00928353089401081,306014205,37.7791,-122.22513,0.010188777544927,224,262,268,219,238,242
6001406400,37.796806,-122.2217201,306014331,37.7820756,-122.2267139,0.0155538651980745,306014277,37.7897817,-122.2373363,0.0171232734291625,306013346,37.78001,-122.22533,0.0171795516242416,389,378,414,409,394,401
6001406500,37.7880813,-122.2169867,306014331,37.7820756,-122.2267139,0.0114318350377254,306013346,37.78001,-122.22533,0.0116084683994037,306014205,37.7791,-122.22513,0.0121234106001493,308,253,259,298,234,237
6001406601,37.7936093,-122.2079606,306014211,37.77367,-122.20957,0.0200041458915362,306014331,37.7820756,-122.2267139,0.0220161871489933,306013346,37.78001,-122.22533,0.0220598507893825,467,496,441,487,504,433
6001406602,37.7964782,-122.2143072,306014331,37.7820756,-122.2267139,0.0190095000368265,306013346,37.78001,-122.22533,0.019816753797742,306014205,37.7791,-122.22513,0.0204727827878894,453,418,424,439,393,397
6001406700,37.8033164,-122.2022249,306014211,37.77367,-122.20957,0.0305427491717717,306014331,37.7820756,-122.2267139,0.0324173210743806,306013346,37.78001,-122.22533,0.0328181950595992,561,623,568,555,639,566
