"FAC_NAME","FAC_ADDRESS_ONE","LATITUDE","LONGITUDE","COUNTY","CENS_TRACT","FAC_CITY","OSHPD_ID"
"APLA HEALTH AND WELLNESS MOBILE DENTAL SERVICES","1127 WILSHIRE BLVD","34.05273","-118.26416","Los Angeles","6037209200","LOS ANGELES","306198020"
"JAY HOFFMAN HEALTH CENTER","29490 LAKEVIEW AVE","33.81765","-117.13227","Riverside","6065042719","NUEVO","306334684"
"DOWNTOWN MEDICAL AND MENTAL HEALTH SERVICES","540 S SAN PEDRO ST","34.04315","-118.24457","Los Angeles","6037206300","LOS ANGELES","306197941"
"INDIO HEALTH CENTER","83791 DATE AVE","33.71132","-116.20451","Riverside","6065049500","INDIO","306334681"
"FOOTHILL HEALTH CENTER OF GILROY","9460 NO NAME UNO","37.03684","-121.57394","Santa Clara","6085512401","GILROY","306434292"
"KIDCARE EXPRESS III (MOBILE MEDICAL UNIT)","823 GATEWAY CENTER WAY","32.7150356","-117.1133094","San Diego","6073003403","SAN DIEGO","306374474"
"MISSION NEIGHBORHOOD HEALTH CENTER - VALENCIA CLINIC","1647 VALENCIA ST","37.74683","-122.4201","San Francisco","6075025300","SAN FRANCISCO","306384212"
"WESTERN SIERRA MEDICAL CLINIC - COMMUNITY MOBILE CLINIC","12548 LOMA RICA DR","39.2213158","-121.010998","Nevada","6057000701","GRASS VALLEY","306294025"
"MONTAGE MEDICAL GROUP","23845 HOLMAN HWY","36.57634","-121.91395","Monterey","6053011900","MONTEREY","306274092"
"HURTT FAMILY HEALTH CLINIC - SANTA ANA","1100 N TUSTIN AVE","33.75487","-117.83426","Orange","6059075403","SANTA ANA","306304555"
"INSTITUTE FOR MULTICULTURAL COUNSELING AND EDUCATION","431 N BRAND BLVD","34.15239","-118.25515","Los Angeles","6037301801","GLENDALE","306196569"
"ARIA COMMUNITY HEALTH CENTER RIVERDALE","3554 W MOUNT WHITNEY AVE","36.43084","-119.8621","Fresno","6019007700","RIVERDALE","306105115"
"ALTAMED MEDICAL GROUP - SANTA ANA, MAIN","1400 N MAIN ST","33.7567114","-117.8681643","Orange","6059075003","SANTA ANA","306304440"
"CENTRAL NEIGHBORHOOD HEALTH FOUNDATIO/INGLEWOOD","2710 W MANCHESTER BLVD","33.95996","-118.32342","Los Angeles","6037600704","INGLEWOOD","306198294"
"ANPHON MEDICAL CENTER","333 E NUTWOOD ST","33.96074","-118.350661","Los Angeles","6037601001","INGLEWOOD","306198154"
"ST. ANTHONY MEDICAL CENTER/HOLLYWOOD CLINIC","6368 HOLLYWOOD BLVD","34.10159","-118.32873","Los Angeles","6037190700","LOS ANGELES","306196159"
"PLANNED PARENTHOOD BASICS, BALDWIN HILLS/CRENSHAW","3637 S LA BREA AVE","34.0209322","-118.3556688","Los Angeles","6037236000","LOS ANGELES","306197613"
"PLANNED PARENTHOOD LOS ANGELES STOLLER FILER HEALTH CENTER","11722 WILMINGTON AVE","33.9271599","-118.2390177","Los Angeles","6037540700","LOS ANGELES","306197741"
"CLINICA SIERRA VISTA MOBILE HEALTH SERVICES","815 MARTIN L KING  BLVD","35.36581","-118.98519","Kern","6029002200","BAKERSFIELD","306154090"
"KORYO HEALTH FOUNDATION","1058 S VERMONT AVE","34.05138","-118.29157","Los Angeles","6037213402","LOS ANGELES","306191373"
"SAN JOSE FOOTHILL FAMILY COMMUNITY CLINIC, INC.","2880 STORY RD","37.353636","-121.822635","Santa Clara","6085503510","SAN JOSE","306434203"
"SEASIDE COMMUNITY HEALTH CENTER","1130 FREMONT BLVD","36.6006605","-121.8490991","Monterey","6053013600","SEASIDE","306274083"
"PLANNED PARENTHOOD:  SHASTA-DIABLO","600 NUT TREE RD","38.36116","-121.94965","Solano","6095252911","VACAVILLE","306484046"
"PLANNED PARENTHOOD PITTSBURG CENTER","3715 RAILROAD AVE","38.00657","-121.89322","Contra Costa","6013313101","PITTSBURG","306074135"
"ROOSEVELT HEALTH CENTER","1926 19TH AVE","37.7897817","-122.2373363","Alameda","6001405901","OAKLAND","306014277"
"PLANNED PARENTHOOD: SHASTA-DIABLO","340 MARINA WAY","37.936986","-122.355961","Contra Costa","6013376000","RICHMOND","306074169"
"CITY HELP WELLNESS CENTER","2301 BELLEVUE AVE","34.0745764","-118.2695435","Los Angeles","6037195710","LOS ANGELES","306196179"
"ENGEMANN STUDENT HEALTH CENTER","1031 W 34TH ST","34.0252377","-118.2887765","Los Angeles","6037222700","LOS ANGELES","306197777"
"SACRAMENTO COMMUNITY CLINIC - SOUTHGATE","7275 E SOUTHGATE DR","38.49355","-121.43766","Sacramento","6067005002","SACRAMENTO","306344146"
"CHAPA-DE INDIAN HEALTH PROGRAM, INC","11670 ATWOOD RD","38.93485","-121.09873","Placer","6061021501","AUBURN","306312257"
"PREGNANCY RESOURCE CENTER OF TRACY","1039 N CENTRAL AVE","37.73899","-121.42599","San Joaquin","6077005405","TRACY","306394071"
"HOPE COMMUNITY CARE CLINIC, INC.","11273 LAUREL CANYON BLVD","34.27503","-118.44949","Los Angeles","6037109500","SAN FERNANDO","306198325"
"SUPPORT CIRCLE","450 SUTTER ST","37.78935","-122.40778","San Francisco","6075011700","SAN FRANCISCO","306384194"
"SUTTER SENIORCARE","7000 FRANKLIN BLVD","38.49882","-121.46093","Sacramento","6067004502","SACRAMENTO","306344065"
"AMPLA HEALTH LINDHURST MEDICAL AND DENTAL","4941 OLIVEHURST AVE","39.0973143","-121.5510757","Yuba","6115040500","OLIVEHURST","306582254"
"VISTA COMMUNITY CLINIC","1000 VALE TERRACE DR","33.20906","-117.22881","San Diego","6073019601","VISTA","306370856"
"EUCLID MEDICAL AND MENTAL HEALTH SERVICES","1733 EUCLID AVE","32.7232461","-117.0832519","San Diego","6073002712","SAN DIEGO","306374478"
"TZU CHI MOBILE CLINIC","175 DEMPSEY RD","37.4321416","-121.8858405","Santa Clara","6085504418","MILPITAS","306434217"
"MISSION CITY COMMUNITY NETWORK, INC. - POMONA MOBILE CLINIC","1818 N ORANGE GROVE AVE","34.07694","-117.74895","Los Angeles","6037402102","POMONA","306198033"
"CENTER FOR ELDERS INDEPENDENCE","7200 BANCROFT AVE","37.76647","-122.17767","Alameda","6001408600","OAKLAND","306014243"
"ST. JAMES HEALTH CENTER","55 E JULIAN ST","37.34114","-121.89266","Santa Clara","6085501000","SAN JOSE","306434004"
"DIENTES COMMUNITY DENTAL CARE","1830 COMMERCIAL WAY","36.98826","-121.98018","Santa Cruz","6087121300","SANTA CRUZ","306444011"
"BLIND AND VISUALLY IMPAIRED CENTER OF MONTEREY CO","225 LAUREL AVE","36.61721","-121.90931","Monterey","6053012302","PACIFIC GROVE","306274001"
"SOUTH GATE COMMUNITY CLINIC","5720 IMPERIAL HWY","33.9299315","-118.1688782","Los Angeles","6037536200","SOUTH GATE","306197779"
"NORTH EAST MEDICAL SERVICES - SAN BRUNO AVENUE","2574 SAN BRUNO AVE","37.7290258","-122.4045065","San Francisco","6075025702","SAN FRANCISCO","306384207"
"SUTTER DELTA COMMUNITY CLINIC","3901 LONE TREE WAY","37.982469","-121.805314","Contra Costa","6013355109","ANTIOCH","306074119"
"GARDNER PACKARD CHILDRENS HEALTH CENTER","3351 EL CAMINO REAL","37.4659","-122.2071","San Mateo","6081610601","ATHERTON","306414140"
"PLANNED PARENTHOOD-RANCHO MIRAGE CENTER","71777 SAN JACINTO DR","33.74363","-116.41218","Riverside","6065045103","RANCHO MIRAGE","306334451"
"NEIGHBORHOOD HEALTHCARE - TEMECULA","41840 ENTERPRISE CIR N","33.51795","-117.17007","Riverside","6065051200","TEMECULA","306334665"
"MISSION CITY COMMUNITY NETWORK-HOLLYWOOD","4842 HOLLYWOOD BLVD","34.10176","-118.29519","Los Angeles","6037191201","LOS ANGELES","306196258"
"THE CHARLOTTE MAXWELL COMPLEMENTARY CLINIC","610 16TH ST","37.80723","-122.27429","Alameda","6001402800","OAKLAND","306014253"
"ST. JOHNS WELL CHILD AND FAMILY CENTER","6505 8TH AVE","33.98053","-118.32654","Los Angeles","6037234901","LOS ANGELES","306197172"
"CHICO FEMINIST WOMENS HEALTH CENTER","1469 HUMBOLDT RD","39.73521","-121.81582","Butte","6007000903","CHICO","306041222"
"BAART COMMUNITY HEALTHCARE - E STREET CLINIC","1235 E ST","36.7324265","-119.7993869","Fresno","6019000200","FRESNO","306105070"
"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.","1730 W OLYMPIC BLVD","34.05001","-118.2761","Los Angeles","6037209520","LOS ANGELES","306198043"
"HURTT FAMILY HEALTH CLINIC","1 HOPE DR","33.71489","-117.83342","Orange","6059075515","TUSTIN","306304423"
"ALTAMED MEDICAL GROUP - GARDEN GROVE, HARBOR","12751 HARBOR BLVD","33.7776476","-117.9154686","Orange","6059088502","GARDEN GROVE","306304439"
"ALTAMED MEDICAL GROUP - ANAHEIM, LINCOLN","1814 W LINCOLN AVE","33.8321645","-117.9463514","Orange","6059087103","ANAHEIM","306304441"
"PDS SERVE FOUNDATION","17000 RED HILL AVE","33.69926","-117.84951","Orange","6059075515","IRVINE","306304551"
"TARZANA TREATMENT CENTERS FAMILY MEDICAL VAN NUYS CLINIC","14660 OXNARD ST","34.17936","-118.45223","Los Angeles","6037128400","VAN NUYS","306198242"
"QUEENSCARE HEALTH CENTERS","4448 YORK BLVD","34.12374","-118.21886","Los Angeles","6037186201","LOS ANGELES","306196099"
"NESTOR COMMUNITY HEALTH CENTER","1016 OUTER RD","32.57797","-117.08254","San Diego","6073010107","SAN DIEGO","306374450"
"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.","82420 MILES AVE","33.72121","-116.22653","Riverside","6065045502","INDIO","306334708"
"SIERRA FAMILY MEDICAL CLINIC, INC.","15301 TYLER FOOTE RD","39.3657253","-121.0365496","Nevada","6057000900","NEVADA CITY","306294009"
"TIBURCIO VASQUEZ HEALTH CENTER, INC. FIREHOUSE CLINIC","28300 HUNTWOOD AVE","37.632","-122.06339","Alameda","6001438204","HAYWARD","306014373"
"LA CLINICA DENTAL AT CHILDRENS HOSPITAL, OAKLAND","747 52ND ST","37.83735","-122.26715","Alameda","6001401000","OAKLAND","306014187"
"OVER 60 HEALTH CENTER","3260 SACRAMENTO ST","37.84816","-122.27793","Alameda","6001424002","BERKELEY","306014161"
"COMMUNITY MEDICAL CENTERS - MANTECA","200 COTTAGE AVE","37.79958","-121.19823","San Joaquin","6077005110","MANTECA","306394101"
"SAN BENITO HEALTH FOUNDATION","351 FELICE DR","36.85309","-121.417","San Benito","6069000300","HOLLISTER","306351812"
"AHF HEALTHCARE CENTER - SAN FRANCISCO","100 CHURCH ST","37.7694503","-122.4291929","San Francisco","6075016900","SAN FRANCISCO","306384180"
"EUREKA COMMUNITY HEALTH CENTER - BURRE DENTAL CTR","959 MYRTLE AVE","40.80059","-124.14974","Humboldt","6023000500","EUREKA","306124027"
"LA CLINICA VALLEJO","243 GEORGIA ST","38.10112","-122.25907","Solano","6095250900","VALLEJO","306484019"
